,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Chile,,,,,,,,,,,,,,,,15.92242299,17.00518816,15.96889888,20.09855221,18.07457994,18.3521918,18.24605164,17.58770446,18.69257876,19.73714084,19.57216375,18.59896825,19.7245478,17.91293697,17.69787972,16.54453499,14.30138579,13.86393665,13.19163915,15.07416217,15.54354934,16.10301962,15.50514157,15.02392219,16.06054266,15.78110096,15.77128964,15.09495708,16.07240363,15.91312577,16.07306762,15.76882727,16.42394505,18.12088991,19.61201733,20.37902854,18.70926556,14.60586057,17.47100627,18.936096,18.99105955,17.4587729,17.04450121,17.54608293,17.46896441,17.50579468,18.3955245,17.71885277,16.19616933,19.67622036,21.33646732,17.71940113,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.45243795,8.929482825,9.625737318,9.943413528,10.13485038,10.03827966,10.15120002,10.08946676,9.732162504,9.498268375,9.194680386,8.945561904,9.248724393,8.890890344,8.329425502,7.924097498,7.798296413,7.517994644,7.638233008,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01090743,,,,,18.81907459,,,,,,9.536225945,10.05484621,9.656894506,10.01288858,9.872439118,10.32991608,10.66575675,10.74426681,10.50126584,10.21376211,7.571481261,10.61935158,10.63592924,10.11725755,11.1757328,11.46037091,11.75637069,11.66599275,11.6654955,11.78668823,12.38941272,11.8184021,13.22750718,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.76735862,8.905155245,9.753700886,6.550075788,5.898419523,7.183668971,,,9.694599136,9.707018079,,,,,,,,,,,,,11.3444056,11.52211698,12.28534381,12.11096959,11.65203139,11.87594119,12.34694571,12.02827276,10.87058281,11.34151572,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.290676114,4.144,2.726873823,3.408089401,2.65117845,4.931615769,4.760047119,4.053750051,5.349763314,3.459796738,0.779702331,2.752459063,4.235473727,4.040197901,5.276738972,5.920611298,6.828222392,6.992189786,8.96688351,7.892170866,8.350447756,,8.857086338,9.043560325,8.63671685,9.102711981,7.952347,6.59070535,7.295148854,6.377289874,6.429882098,8.399034388,11.41102257,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.070936874,8.142904651,8.647504676,7.813594406,5.688120435,5.29500882,6.027573817,5.896624548,8.22388189,6.902938646,8.11448977,7.278246336,8.624360765,9.580921156,12.19514442,13.08946423,10.13526308,6.828452318,7.101549382,8.324484886,6.509088258,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74373215,13.47692128,11.21975419,,,11.25882686,,,,,13.03151101,12.67522738,12.1421652,14.57588119,13.22699071,14.02211435,15.69974837,15.79726266,14.38521293,14.85081841,14.60984245,14.90052462,14.04523856,14.4463231,15.26329268,17.56746742,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0767999,22.74176634,19.17576553,19.41944637,16.88359364,16.82243285,17.98708302,16.28108273,16.27035546,15.5325589,17.13559678,16.72527813,17.80363837,18.93160634,18.22403324,18.38570329,,,,
Costa Rica,,,,,,,,,,,,,,,,11.44136907,12.49704782,13.620164,12.43707088,12.1882799,12.3050282,12.65156228,11.8839706,11.61681397,12.38120078,12.65574835,15.21876982,14.71680728,13.27305302,13.25739833,14.43415782,14.70223261,13.70475078,13.05733465,10.58635151,11.97654825,12.03526931,11.58078693,12.24503796,12.64281524,12.61316492,12.82386493,13.13375816,12.83971283,13.3610338,13.3681089,13.58495161,13.3589275,13.63539699,13.84166374,14.85647016,15.23250991,13.18307199,12.95254206,13.20898687,13.10529607,13.41682475,13.04558896,13.25399422,13.51085434,13.24410255,13.18214869,13.32013292,12.23802899,14.04058586,14.35419412,13.91152966,
