,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.28524432,,12.49657514,13.11137796,19.68922513,18.80200422,21.54041832,22.08920232,22.11201606,20.25482082,19.36763716,19.1715741,19.03600583,19.26354665,19.74893138,20.5300348,20.35332704,20.46760197,16.99183757,16.24099886,15.666045,15.68461913,15.78117147,16.03350266,16.75772529,17.0998351,16.7642159,16.75246513,20.08894005,20.50301716,21.27444761,21.28207731,21.41843581,
Luxembourg,,,,,,,,,,,,,,,,16.66488402,17.19561755,17.65910341,20.66517166,20.33388906,22.81675496,23.67386782,21.88217876,22.33608677,22.7961717,22.9337644,25.45228423,24.89418137,24.86552497,24.16078827,24.36027848,23.56106866,22.59758011,22.87627833,21.60805633,22.18582235,23.75436634,25.02831298,24.47322707,24.69738708,25.24415233,25.60117694,25.10032846,25.4725969,24.98489419,24.78170287,24.63009613,24.04257319,25.33555545,23.9298412,24.38034549,23.55571077,23.83910852,23.81784044,23.98704785,24.42782715,24.55226696,24.74515711,23.32185937,23.76750967,24.51814705,26.88545413,26.88848343,25.68642319,26.00242918,26.68297034,27.21940444,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07223055,14.03294006,13.50917083,16.07733742,17.08936027,16.38733755,14.92928967,14.82444033,14.49706451,14.86619319,14.91736327,15.71127399,16.41184213,16.01570798,15.31409598,13.55255924,14.16175498,15.03494748,15.44659611,15.90284345,16.17406021,16.37392578,17.23172919,17.20614205,16.19951066,16.19985064,16.28185273,16.45373672,17.14966686,16.71324158,
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.10324623,15.9467573,14.22167115,14.19246602,14.92285291,16.39758352,17.23481133,20.04767379,21.26856755,20.98034184,21.13448838,25.46243595,30.23591364,29.3068412,34.38843575,37.42427393,36.80275324,36.38810023,35.0873753,29.15024934,27.77528589,29.03705734,29.43651435,29.77826632,21.82738175,19.3081267,16.70167935,22.84221249,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.67672148,18.41541938,20.65142956,20.24770334,18.85493515,18.35120904,,19.40548746,17.23153531,17.88254779,,,17.11157403,16.85825073,17.11632532,18.99004931,19.40359092,21.73147478,24.06877109,21.54148401,21.08896409,21.45346087,21.96528411,20.62786901,20.35361775,19.43746509,19.86725776,20.12970123,20.28612138,19.91442794,20.02211205,19.66520564,22.10852292,20.97642683,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08967623,18.2831061,18.08024084,15.05735397,14.72574961,12.17120031,12.88135437,14.67287013,16.35739261,18.48533942,19.57121151,20.56653565,20.44594895,17.68531332,15.16064072,15.24032722,15.59534634,15.469636,16.82879915,16.29096809,16.43011832,17.72739043,18.01408374,17.65629013,17.90989849,18.38811637,18.92100495,18.58502703,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.391907954,5.626451039,6.991043731,6.770597926,6.499532855,6.845865817,,,,,,,,8.597800286,9.372419868,8.690155518,9.201881621,9.848061325,11.39145084,8.344148961,8.535319118,8.710323638,8.368255543,8.785591773,8.441133382,8.945310373,9.244851873,10.02754473,10.28312868,10.53186462,9.520728725,10.38119675,9.240542681,9.614870959,
Maldives,,,,,,,,,,,,,,,,,,,,,,,2.495321273,5.115408609,6.891452233,12.21995927,12.63183714,9.261658031,9.99113868,10.28976937,12.2840691,13.57065658,,13.96231926,14.6140953,14.95898236,13.73453732,13.00458215,13.59638849,13.45217883,14.44550444,14.20024047,14.09157047,13.79611004,9.826307389,9.507925449,9.420701834,10.48943585,11.56937388,11.75644071,12.14744951,11.57888281,9.100667992,8.84762793,12.07813398,,,19.32300328,19.65015509,19.97582564,20.69157889,20.14493604,19.9413849,20.11218859,19.45324828,,,
"Middle East, North Africa, Afghanistan & Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,7.610619469,7.091172214,8,9.181818182,9.044493071,9.951325041,10.7402653,11.34289439,11.4238505,10.54584204,11.21787245,12.99939446,12.6232738,12.31257863,11.86499888,12.74757437,11.41196198,12.13921122,11.84836466,11.59449261,11.60243534,8.567132484,8.096059185,8.031618306,8.314389304,8.592240647,7.70264914,8.185176467,9.132295413,,,,,,,,9.578771528,9.234604861,9.675317455,9.617072145,9.352411064,9.883610121,10.24285504,12.34597578,13.12378561,12.68743173,12.7121573,12.78774861,13.89751345,13.41126212,13.40840376,14.22934144,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.33249318,18.40196561,17.72191372,17.03810215,16.38623077,16.48763573,15.85675161,17.35771094,17.3583439,17.62183482,17.91818182,18.60089679,17.15550041,,,,
Middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04726279,10.6421819,11.20165962,11.64967808,11.32230479,11.75758243,11.9800912,11.86008372,11.77350752,11.41355549,11.42724007,11.30466091,11.3747714,11.26884907,10.8552862,10.60322291,10.75945936,10.23575949,10.48959367,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.42509865,18.08266169,19.07483022,18.52394611,17.12957827,16.8656928,16.999651,16.41665042,15.668958,16.23528371,16.81823312,16.95115782,17.16111359,17.57493632,17.08328108,16.12703466,17.39296314,17.68793831,17.86090327,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78507803,10.58547675,11.1732839,12.76795381,10.49503213,10.37389164,10.38061201,10.34970305,9.497793272,10.54191199,10.44319015,10.51319476,10.85407206,10.94474178,10.72204034,11.85336199,12.89699297,13.33004229,9.780655442,12.23705355,11.9520025,,,,
Malta,,,,,,,,,,,,,,,,21.17118907,22.01439629,20.6659997,18.87472189,17.73263658,18.35483092,19.15855318,,19.69424242,19.23403601,18.51096646,17.86284418,16.84151879,17.67666555,17.18032161,16.55215345,17.59891218,17.8970137,18.21705651,18.4817232,18.96305679,19.43137281,18.1654043,20.34812824,18.21137249,20.05066377,18.33635562,20.51027299,21.02633411,22.17095889,23.14527508,23.34060753,23.54125088,25.3412025,25.83328806,26.88573609,25.66444681,25.8974683,25.13979087,25.41100721,25.29540887,25.14210333,25.57603462,24.32170534,26.24937861,26.00568002,25.42681987,25.10297467,22.47828736,22.42680113,22.6195096,21.86985099,
Myanmar,,,,,,,,,,,,,,,,,9.424797534,7.612796448,7.92264763,8.805191868,10.4564792,10.0094338,10.21141674,9.611748954,9.927705224,9.831022455,9.236698189,8.584435744,8.255193264,7.411736702,6.365541807,4.493526715,4.261787377,6.197784146,5.610206293,5.037396545,4.728010353,4.25171345,3.7444872,3.959317154,4.415239181,3.519309519,2.752748457,2.966507458,2.257140411,2.00104717,2.210411864,3.272456656,3.881778356,,,,,,,4.524093697,5.529567589,5.840928925,6.01128504,7.175859836,6.077742329,2.756971253,6.017652477,,,,,
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08136574,17.51732902,11.32416493,9.773956356,9.602347816,10.57243315,8.358672087,9.805817878,13.9101607,14.66205919,13.36924022,18.03874557,,,28.70997468,23.47917648,21.65181536,16.5402944,19.59311925,18.46699109,15.31214218,15.73120804,12.90163424,11.89413792,11.35099345,13.54690845,16.68852831,16.85052092,14.14578723,16.90884952,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34661003,16.79952951,18.62877783,21.54065214,23.96538388,20.00648452,20.07676221,22.11208495,21.19263684,26.68286006,21.52670294,22.74775571,22.66159088,22.32425988,22.17292258
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,14.22578078,11.51171515,16.26452848,19.85385862,19.45325714,17.49376819,16.28208486,18.16975589,17.40789435,16.43879394,18.83671931,19.25811578,17.7713157,17.5419851,17.5760856,19.01016063,19.82622308,19.38579253,20.02383809,18.89587291,17.86015622,18.03863219,15.9001352,14.61619281,15.78100715,15.78088623,16.52614638,16.72843033,14.93965193,14.80718303,15.88149715,16.02451103,17.02713167,16.02867142,15.10546176,16.96721946,18.07301307,18.01671337,18.00451841,18.62170749,18.12260374,18.08385642,8.758005968,17.60779165,17.93264409,18.40604811,19.40743808,20.70623346,18.26439463,19.08032776,20.54927963,20.51223468
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.940184267,10.56346502,10.61770698,9.315715142,9.708743562,10.94910926,10.53658178,10.63896316,12.18430178,12.17565789,11.97521267,12.13056274,11.58775288,13.50385739,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37792632,19.75336681,16.7301575,14.09370802,13.6669089,17.79488881,17.44695509,15.49565512,15.19909376,14.82639106,14.51619698,14.30372284,14.66295826,14.94050153,13.33219531,14.79435317,15.61314674,15.31023528,14.84079071,14.05686213,13.55072517,12.94596624,12.02266586,11.93634883,10.88467121,11.21607484,11.63747386,12.57251859,
North America,,,,,,,,,,,,,,,,11.8199373,11.49521249,11.83762036,11.1858005,10.74883688,11.61864632,11.54235905,12.00380766,12.13835265,12.55050996,11.97862664,10.34826823,10.15971565,10.38424016,10.16304589,10.94884573,10.59594327,10.78244038,10.77664324,10.66845496,10.35339376,10.59072711,10.83269757,11.17787581,11.58774922,12.06209404,12.52949178,12.46829832,13.1318982,12.05610289,10.16765849,9.718392118,9.86252661,10.90523075,11.48445621,11.46446863,10.45667422,8.279252298,8.833833484,9.732308041,9.926178171,10.55954333,10.97732481,11.28587715,10.99470892,11.5984961,10.19661222,10.12870453,10.44073242,11.616798,12.69602471,10.93994339,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01056488,26.95733053,25.10570472,26.13034546,24.08861489,25.01869455,23.98662948,26.66870601,25.69348773,27.91512801,27.42850904,26.30946285,26.06199667,23.19476922,24.27282174,25.72900988,29.07216661,30.5252906,29.70119352,29.07230526,25.54231598,29.55059042,32.93275144,32.98071934,34.6286881,33.42238687,29.67346384,31.30769663,28.93171391,30.39309519,31.20591107,28.06398659,27.16683985,32.9629021,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,9.421033141,9.154545384,9.496598531,10.90978353,11.7645286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26583735,18.23936737,19.84950915,18.98088283,8.993665941,9.402734402,9.494441288,10.58909176,11.03648306,10.71894637,10.64687011,9.802508066,10.39549911,11.7208159,12.18817918,12.89980348,13.68420847,13.86208708,13.20167605,13.13766095,13.67836655,14.51970305,15.00914108,15.02043496,15.31626025,15.58957524,16.16645581,16.57378932,15.6994321,17.4217765,17.01091407,18.82079238,19.86063944,19.94241792,
Netherlands,,,,,,,,,,,,,,,,,22.42761867,21.18509234,22.30388808,22.27156631,23.36054891,23.15563898,23.08604718,23.04089883,21.87192919,21.65405932,20.75554054,20.12810343,20.31235652,21.22740591,22.50212329,22.57585646,21.86121575,23.25199778,24.45512579,23.601775,24.28033177,21.81465129,20.83949435,21.4375905,20.90299194,20.67956813,21.18611996,20.92943026,21.00836334,21.0800933,20.08405499,20.35543566,20.88779691,21.10175608,21.25005018,21.70431706,20.8039697,20.80146558,20.66437708,20.32231797,20.55976333,21.53937288,21.79611685,22.34790155,23.06139219,22.9523939,23.57577489,23.9228232,24.3086759,23.89879455,24.84088127,
Norway,,,,,,,,,,,,,,,,22.95167975,20.68992057,20.46229859,20.3859202,21.53182507,22.08057275,21.81953118,22.23869891,25.11381524,26.25029793,25.31305262,24.5587192,24.53236615,25.65460294,25.62122795,23.62815299,22.15427566,20.47765002,21.30448176,21.57610491,20.73649632,20.7364733,21.74285198,23.00490688,23.93682586,23.89191652,23.95695391,24.25424193,26.67195447,26.03931301,27.1341212,25.86954581,27.31696869,28.20373383,28.79829887,28.08021781,27.7643981,25.84735411,26.74376696,27.5519417,26.87254323,25.01013644,23.41203172,22.08854882,21.96037593,22.29004036,23.31360593,23.2830044,21.25318677,25.50551801,31.34459755,27.05267155,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.996692968,6.620301936,6.483344072,6.654637356,7.729134048,8.985513859,8.719914187,8.723659866,8.639332547,8.422505233,8.735981111,8.802574747,8.560583141,8.651811853,8.9749585,9.179453421,8.77975841,9.772473404,10.44008641,11.84403686,13.39611544,11.62467775,12.04080455,13.29788586,13.99491049,14.68630457,16.14374976,17.99936212,19.08282606,19.80906024,15.77364973,17.48530328,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10882596,17.07507273,25.31272588,22.65238158,28.85657538,34.22777009,44.40226509,,,,
New Zealand,,,,,,,,,,,,,,,,24.46646341,26.05151614,28.35806133,27.9768177,27.55657405,29.60429585,28.21206994,29.15539235,29.32408868,30.05319149,30.50816806,28.30571251,28.65860955,29.69387967,30.18307939,33.24645858,32.70028658,,,,,,,,,,,,,28.55763254,28.20805365,29.24813843,29.25793128,30.31290683,31.98588405,30.10987127,31.45316344,29.61479378,26.08635998,25.63774558,26.85610253,26.70130344,26.82641808,27.39326757,27.24804618,27.30737243,27.46413207,28.14868999,27.33418467,29.02193188,29.60076199,,
OECD members,,,,,,,,,,,,,,,,13.78458225,13.48398506,13.97063444,13.78548706,13.93029502,14.3899828,14.31626967,14.49909778,14.85800972,15.2104814,15.13407458,14.48100322,14.31019016,14.52838318,14.54710926,14.89597682,14.6568513,14.60968812,14.51703765,14.46573804,14.13330251,14.02420038,14.60963459,15.06406926,15.37921644,15.84141309,16.1130493,16.27618753,16.70557311,16.33378865,15.18826405,14.87366654,14.93820066,15.60472076,16.0478351,16.1595062,15.41066278,13.89029842,14.2987673,14.79851135,14.97282085,15.42010857,15.61175905,15.77949809,15.70968943,16.04792815,15.50538519,15.45108296,15.43827589,16.33405875,16.95082779,15.42596949,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.48113997,17.36227397,18.43902818,19.76817425,19.86086625,19.19519943,19.20468962,19.67289125,20.3821121,20.19089056,19.43378147,19.58121813,20.13888241,20.59037009,21.46699544,22.17484406,22.74980229,21.92086907,21.06661795,22.5526418,23.28046847,24.95465608,23.30641363,23.49331605,21.1565576,24.13433676,22.09615974,22.07453183,21.78583049,21.2281229,21.27344482,21.68527725,22.37279534,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.959648751,9.798019616,10.05573852,9.665744695,9.590967813,8.648377915,8.049989517,7.460605702,,,
Peru,,,,,,,,,,,,,,,,12.65359002,10.81125344,11.00086063,11.55773155,11.22907434,11.6716743,12.4930216,13.80688285,17.96171377,15.11632987,14.79299342,11.89773092,13.04040973,14.96299404,13.38210985,9.974415853,9.663582676,7.921659024,10.72389521,11.02794427,11.98305238,12.16542206,12.97214417,13.68475757,14.19981417,14.39876053,14.23480496,12.9941893,12.6086475,12.89710563,12.48714263,13.41152116,13.66336894,14.10474219,15.6699876,16.40746835,16.51217092,14.45652681,15.46657176,15.96889515,16.5466871,16.43300669,16.72092668,14.91965132,13.78754764,13.17434165,14.28637131,14.52540406,13.22109096,15.92433952,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.35461036,12.80958835,13.53887306,13.68088118,14.03788872,14.26625524,14.82664166,14.86149493,13.67546376,12.89543709,12.44032476,12.26550865,11.66813069,11.66643259,11.36440439,11.92422406,13.12730144,12.9604093,13.03351369,11.69893557,11.63527559,11.84900078,12.30592712,12.74382206,13.01551718,13.01961059,13.08710069,13.59379375,14.04753328,14.48847302,13.95098571,14.13000393,14.61900582,14.10443514,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.35676889,15.42082338,16.59811671,17.45090808,18.06918025,18.39007801,19.33733336,20.28290742,19.81538164,19.92910924,20.95422088,18.36675077,18.08095114,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.07346726,17.73352563,18.28415818,19.86439564,20.59600745,19.72715386,22.46318454,23.7232047,20.48029115,21.78816746,18.975965,24.6964497,21.01324696,,,,,,,,,,,,17.90996215,15.22728706,12.94862858,12.60500176,13.19302875,13.02195587,11.87919551,12.14842321,14.77049521,15.93479892,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.78268073,22.28384351,21.57239464,20.83480344,20.08417928,17.99297995,16.88894979,15.97914186,16.78813393,16.66527451,15.61857556,16.42798248,17.09206941,18.05730476,18.1987401,16.00966529,16.53702355,16.66968256,16.00525692,15.67425911,15.62719823,15.61359532,16.20902913,16.73557568,17.18482185,17.14075929,17.29114409,18.95906772,17.12253092,17.9988487,
Pre-demographic dividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico (US),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,11.48633848,11.77968912,12.31415017,13.84378894,14.11276532,13.45697383,13.76768835,15.18085124,16.09136272,16.59471789,18.33797402,18.01063441,17.61591829,17.55125423,15.57442685,16.98673207,17.73912161,17.66850202,18.29113824,20.02626303,18.58661807,19.35373811,19.69493002,20.51675843,20.26430124,20.38186699,20.94466119,20.88008868,20.52060921,20.83930875,19.89516338,20.00007186,20.59840241,21.13432087,21.36822274,21.07594131,19.09309616,19.87146128,21.35958143,21.0111817,22.87369477,22.87467958,23.07846692,22.61703863,22.63640611,22.84457305,22.44725701,22.25958309,22.28329322,23.17293192,22.82392547,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.264764504,8.350504183,7.837877891,8.0940723,8.327582817,8.871213476,9.366835103,9.457778351,8.929362568,9.74517638,9.642274697,9.559063337,9.956474414,10.07505858,9.995756075,9.514999286,9.794253598,10.26613639,10.13827499,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific island small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.06943681,21.26575687,21.67976904,22.13507174,22.28777306,21.70885149,22.55588393,23.22732609,22.16579869,18.46442647,18.12984902,19.58681177,21.02154435,
Post-demographic dividend,,,,,,,,,,,,,,,,13.85833889,13.52693176,14.00752724,13.72452636,13.81571718,14.27022069,14.18085286,14.3756706,14.76612882,15.15207462,15.01922696,14.28744925,14.18577754,14.43786523,14.4481032,14.81124183,14.65207612,14.62071762,14.5422536,14.50735243,14.11456923,14.07833661,14.58475955,15.08538691,15.38733313,15.80354204,16.25183914,16.40215709,16.85188179,16.20995783,15.02776451,14.75344239,14.79186732,15.45875763,15.88758142,15.99952017,15.43683157,13.84851272,14.23215001,14.7574091,14.98652325,15.44154862,15.63349659,15.76988006,15.66316647,16.05244527,15.47428719,15.43570932,15.37278937,16.27971423,16.97063701,15.27654626,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,4.388327722,4.074786912,4.024977234,4.052199485,4.201834862,4.46458383,4.463377115,4.526254376,5.1175,23.05630027,22.52189301,22.41292377,19.66235439,17.78714284,17.40204452,16.10773027,17.03601162,17.73603872,17.05661897,17.96270948,16.63341608,16.48910006,17.77476375,17.42126616,17.46805693,17.94705723,17.53952573,16.78544449,15.27210523,16.2393387,17.21537374,17.15870536,17.76058604,17.93906459,18.91817625,17.11183625,15.58664739,14.37433642,14.5223191,14.14650719,14.92374137,16.15756594,,
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.24287265,13.72553445,15.7786996,13.63496607,13.3140302,13.23402539,16.62290968,16.56821576,16.55131306,15.81806782,12.95635241,13.04834885,13.95420368,13.75467304,12.93349245,13.2553613,10.64209481,9.1831221,10.28840567,11.4687676,10.93839974,10.79911962,11.69663121,10.84786915,12.07280139,
Rwanda,,,,,,,,,,,,,,,,,8.631147895,10.18131049,7.521318803,9.906255355,10.90185737,9.71992482,11.70219398,10.46763593,,,,,,,,,10.82692927,8.78380627,9.260063961,9.048258736,,,,,,,,,,,,,,,,,,,,,,12.94762927,13.29389488,14.4161495,13.45137139,14.24971091,14.60535731,15.0744688,14.46370979,13.6800512,13.50806955,
South Asia,,,,,,,,,,,,,,,,,,8.181120885,9.024502908,9.181837991,8.597094206,9.30227453,9.677139299,9.019597414,9.209845718,9.270903141,9.271760753,9.304978386,10.07235644,10.424186,10.41141539,10.35844578,10.46392083,10.28487438,10.42531366,10.06415762,8.840152804,9.264363055,9.53350945,9.50697791,9.262077855,8.355849996,8.871037973,9.021051642,8.187225667,8.693628977,9.051146842,9.490942898,9.957285115,10.89182654,11.73622826,10.78089408,9.742140119,10.23154913,10.09942533,10.68229955,10.8345865,9.925036474,10.49801279,10.91472304,11.12473726,11.73282692,,,,6.754084063,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.529612102,2.299686814,2.484586154,2.651854233,2.662929768,3.146170602,3.171892013,3.144284072,7.918533798,6.601591339,7.876200646,8.605345834,6.953445922,7.804403937,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.7163282,638.6617224,,,,,,,,,,6.469484382,5.862474675,3.856210161,6.894406995,7.684016394,7.982317862,8.194438005,7.390270262,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.77433605,16.37117645,15.90645166,16.37825247,18.41928364,17.4488279,17.55013297,18.5924842,19.537079,
Singapore,,,,,,,,,,,,,,,,14.55018489,14.78510139,15.06460714,16.57112472,15.99637416,16.72455544,15.93464722,16.03977068,16.99291833,17.88020559,18.91634198,18.76083872,17.66338209,15.66216706,12.73576946,13.07807989,14.07201262,15.68787362,14.54626959,15.1815316,16.1033535,16.29033395,16.61315228,15.76850365,15.89736716,15.31234109,14.03102564,14.53171741,14.85578908,14.58551915,12.68873934,12.44607416,11.60451158,11.5770274,11.83102218,12.8204282,13.75439145,12.95492653,12.78582397,13.10572195,13.58066874,13.27125008,13.55655713,13.13977453,13.28399811,13.97314352,13.0051769,13.17736117,12.74330479,12.74012115,11.78394911,13.89487356,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.15859663,26.17666721,26.60625702,25.59567494,25.73914196,23.84309269,24.76506783,25.52760652,22.23214599,21.05153287,21.44865775,20.6697405,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.879789825,10.43175691,10.6054957,13.30670083,12.09947074,12.67829709,12.65445486,14.5108178,15.67010773,16.74489691,17.06020329,14.97703052,15.81208071,15.34403351,16.18243583,17.05473522,16.7087952,16.75268491,17.35477562,17.75375106,18.12892354,18.08145041,18.39077508,19.68967543,21.16245562,20.70523783,21.49698459
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0982586,16.90549549,15.92509838,16.93509389,17.22250106,17.63826308,17.67091532,16.93910919,15.59202295,16.15303556,18.01625741,17.06623964,18.34558313,17.89022288,16.68951936,16.468847,17.95681677,16.91273433,16.13626113,17.29597316,17.81140693,,
"Somalia, Fed. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.10E-05,9.51E-05,7.99E-05,6.28E-05,6.59E-05,6.64E-05,7.58E-05,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.48727479,20.35747308,19.24089066,19.4313895,18.3137738,17.81456033,19.98740091,21.05217409,21.46665374,22.44446425,23.12895636,22.63845372,23.0002958,22.43023449,19.66099612,23.89740663,,
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
